MasterID,COMID,yr,csci_sampledate,Constraint_class,County,SMC_region,Regional_board,pChem,pHab,pOverall,biological_condition,stress_condition,SQI,ASCI,blc,bs,Cond,CSCI,Ev_FlowHab,H_AqHab,H_SubNat,hy,CRAM,IPI,PCT_SAFN,ps,TN,TP,XCMG,lon,lat,ASCI_ptile,blc_ptile,bs_ptile,Cond_ptile,CRAM_ptile,CSCI_ptile,Ev_FlowHab_ptile,H_AqHab_ptile,H_SubNat_ptile,hy_ptile,IPI_ptile,PCT_SAFN_ptile,ps_ptile,TN_ptile,TP_ptile,XCMG_ptile
ME-CC,17562626,2021,7/13/2021,likely constrained,Ventura,Calleguas,Los Angeles,0.999349363,2.22E-16,0.999349363,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.31,67.7,94.4,1582,0.48,0,1.1,1,83.3,68,0.75,90,25,3.1,2.1,151,-119.03968,34.17912,0.029268293,0.245528455,0.978861789,0.67804878,0.41300813,0.144715447,0.084552846,0.256910569,0.206504065,0.821138211,0.26504065,0.962601626,0.144715447,0.808130081,0.97398374,0.835772358
SMC01860,17564046,2021,7/13/2021,possibly constrained,Ventura,Calleguas,Los Angeles,0.998580096,2.22E-16,0.998580096,Impacted for ASCI,Stressed by chemistry degradation,Impacted and stressed,0.48,66.5,88.9,1165,0.81,0.75,1.31,1.38,83.3,72,0.98,60,50,6.15,2.05,144,-118.97911,34.224,0.156097561,0.198373984,0.938211382,0.517073171,0.502439024,0.578861789,0.746341463,0.385365854,0.385365854,0.821138211,0.645528455,0.804878049,0.37398374,0.897560976,0.972357724,0.811382114
408M03166,163864409,2021,7/7/2021,NA,Ventura,Calleguas,Los Angeles,0.999428231,2.22E-16,0.999428231,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.42,82.9,61.1,1683,0.44,0.69,1.43,1.07,75,67,0.88,79,50,5.8,1.5,109,-118.86104,34.28501,0.089430894,0.396747967,0.481300813,0.717073171,0.38699187,0.110569106,0.643902439,0.525203252,0.245528455,0.647154472,0.432520325,0.910569106,0.37398374,0.886178862,0.959349593,0.572357724
408M03182,163864411,2021,7/7/2021,NA,Ventura,Calleguas,Los Angeles,0.99955566,2.22E-16,0.99955566,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.32,82.9,50,1681,0.56,0.8,1.43,0.83,91.7,66,0.85,91,37.5,5.9,1.9,116,-118.83916,34.29028,0.034146341,0.396747967,0.268292683,0.715447154,0.354471545,0.221138211,0.801626016,0.525203252,0.170731707,0.887804878,0.385365854,0.965853659,0.196747967,0.889430894,0.969105691,0.632520325
SMC04308,17564110,2021,7/7/2021,possibly constrained,Ventura,Calleguas,Los Angeles,0.85807292,2.22E-16,0.85807292,Impacted for ASCI,Low stress,Impacted by unknown stress,0.34,82.9,52.8,1277,0.9,0.78,1.74,2.01,75,65,1.07,24,50,0.77,0.03,111,-118.9083,34.19349,0.040650407,0.396747967,0.299186992,0.572357724,0.326829268,0.699186992,0.778861789,0.884552846,0.991869919,0.647154472,0.81300813,0.375609756,0.37398374,0.575609756,0.385365854,0.591869919
ME-VR2,948070372,2021,6/8/2021,NA,Ventura,Ventura,Los Angeles,0.672620115,2.22E-16,0.672620115,Impacted for ASCI,Low stress,Impacted by unknown stress,0.76,80.6,83.3,1081,0.83,0.74,1.75,1.98,91.7,80,1.17,38,62.5,2.3,0,114,-119.29948,34.34584,0.565853659,0.383739837,0.902439024,0.486178862,0.723577236,0.604878049,0.733333333,0.899186992,0.978861789,0.887804878,0.975609756,0.567479675,0.482926829,0.76097561,0.100813008,0.611382114
403M01661,17573683,2021,6/8/2021,possibly unconstrained,Ventura,Santa Clara,Los Angeles,0.903813098,2.22E-16,0.903813098,Impacted for ASCI,Stressed by chemistry degradation,Impacted and stressed,0.78,93.3,58.3,1982,0.86,0.87,1.62,1.56,91.7,73,0.94,68,50,0.34,0,101,-119.09618,34.30608,0.601626016,0.769105691,0.422764228,0.788617886,0.528455285,0.640650407,0.894308943,0.76097561,0.549593496,0.887804878,0.539837398,0.856910569,0.37398374,0.4,0.100813008,0.517073171
SMC02436,17563958,2021,6/2/2021,possibly constrained,Ventura,Calleguas,Los Angeles,0.998538735,2.22E-16,0.998538735,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.53,61.1,51.4,1781,0.69,1,1.32,0.6,66.7,52.5,0.82,87,31.2,8.8,0.42,100,-118.97199,34.26279,0.234146341,0.126829268,0.269918699,0.743089431,0.178861789,0.4,1,0.395121951,0.126829268,0.375609756,0.339837398,0.946341463,0.146341463,0.94796748,0.904065041,0.510569106
403S00772,948070356,2021,6/2/2021,NA,Ventura,Santa Clara,Los Angeles,0.475578841,2.22E-16,0.475578841,Healthy,Low stress,Healthy and unstressed,0.86,73.2,61.1,1196,0.79,0.72,1.53,1.82,91.7,72,1,24,62.5,0.33,0,44,-118.93221,34.40976,0.699186992,0.266666667,0.481300813,0.531707317,0.502439024,0.544715447,0.692682927,0.645528455,0.840650407,0.887804878,0.682926829,0.375609756,0.482926829,0.38699187,0.100813008,0.22601626
404S03048,948070152,2021,6/2/2021,NA,Ventura,Santa Monica Bay,Los Angeles,0.999874253,2.22E-16,0.999874253,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.61,80.6,52.8,3722,0.68,0.43,1.88,1.29,83.3,70,0.74,68,62.5,0.36,0.14,82,-118.79088,34.18425,0.346341463,0.383739837,0.299186992,0.962601626,0.455284553,0.388617886,0.271544715,0.97398374,0.336585366,0.821138211,0.256910569,0.856910569,0.482926829,0.411382114,0.739837398,0.398373984
403M01619,17567911,2021,5/25/2021,possibly unconstrained,Ventura,Santa Clara,Los Angeles,0.569732754,2.22E-16,0.569732754,Impacted for CSCI,Low stress,Impacted by unknown stress,1,90.3,72.2,1435,0.69,0.5,1.38,1.98,100,81,0.91,32,62.5,0,0,80,-119.26634,34.55945,0.847154472,0.559349593,0.710569106,0.640650407,0.746341463,0.4,0.346341463,0.463414634,0.978861789,1,0.484552846,0.492682927,0.482926829,0.082926829,0.100813008,0.383739837
SMC00827,17567969,2021,5/25/2021,possibly unconstrained,Ventura,Santa Clara,Los Angeles,0.255792465,2.22E-16,0.255792465,Healthy,Low stress,Healthy and unstressed,1.12,93.3,75,935,0.89,0.77,1.65,1.48,75,80,1.04,16,75,0,0,99,-119.18833,34.55734,0.951219512,0.769105691,0.754471545,0.406504065,0.723577236,0.676422764,0.764227642,0.808130081,0.469918699,0.647154472,0.74796748,0.281300813,0.780487805,0.082926829,0.100813008,0.502439024
402M00138,17586616,2021,5/20/2021,possibly unconstrained,Ventura,Ventura,Los Angeles,0.352744217,2.22E-16,0.352744217,Healthy,Low stress,Healthy and unstressed,1.02,93.3,44.4,1007,0.9,0.95,1.64,1.78,75,69,0.96,18,62.5,0.16,0,48,-119.28781,34.45289,0.869918699,0.769105691,0.221138211,0.453658537,0.430894309,0.699186992,0.946341463,0.791869919,0.791869919,0.647154472,0.590243902,0.300813008,0.482926829,0.22601626,0.100813008,0.234146341
SMC04047,17586578,2021,5/20/2021,possibly constrained,Ventura,Ventura,Los Angeles,0.344751984,2.22E-16,0.344751984,Impacted for CSCI,Low stress,Impacted by unknown stress,0.95,90.3,61.1,1001,0.76,0.8,1.28,1.7,66.7,70,0.9,16,62.5,0.13,0,46,-119.29171,34.45832,0.803252033,0.559349593,0.481300813,0.448780488,0.455284553,0.497560976,0.801626016,0.365853659,0.700813008,0.375609756,0.463414634,0.281300813,0.482926829,0.2,0.100813008,0.227642276
402M00157,17586848,2021,5/19/2021,possibly unconstrained,Ventura,Ventura,Los Angeles,0.656398097,2.22E-16,0.656398097,Impacted for CSCI and ASCI,Low stress,Impacted by unknown stress,0.51,90.3,63.9,1113,0.69,0.57,1.83,1.85,66.7,71,1.04,44,62.5,1.2,0.01,83,-119.30793,34.37646,0.203252033,0.559349593,0.499186992,0.497560976,0.473170732,0.4,0.443902439,0.94796748,0.887804878,0.375609756,0.74796748,0.63902439,0.482926829,0.648780488,0.198373984,0.4
SMC02127,17586736,2021,5/19/2021,possibly unconstrained,Ventura,Ventura,Los Angeles,0.698580204,2.22E-16,0.698580204,Healthy,Low stress,Healthy and unstressed,0.93,80.6,77.8,1594,0.88,0.62,1.88,1.65,58.3,67,1.09,22,50,0.12,0,92,-119.26474,34.42318,0.782113821,0.383739837,0.790243902,0.686178862,0.38699187,0.66504065,0.518699187,0.97398374,0.647154472,0.317073171,0.86504065,0.351219512,0.37398374,0.18699187,0.100813008,0.445528455
SMC02302,22524989,2021,5/17/2021,likely constrained,Orange,San Gabriel,Santa Ana,0.940410569,2.22E-16,0.940410569,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.68,62.5,25,1251.5,0.44,0.99,0.83,0.36,33.3,36,0.38,65,25,1.89,0.06,5,-118.04128,33.8153,0.443902439,0.16097561,0.108943089,0.562601626,0.087804878,0.110569106,0.983739837,0.167479675,0.095934959,0.089430894,0.113821138,0.835772358,0.144715447,0.717073171,0.546341463,0.094308943
SMC02494,22525729,2021,5/13/2021,likely constrained,Orange,San Gabriel,Santa Ana,0.860268689,2.22E-16,0.860268689,Impacted for CSCI and ASCI,Low stress,Impacted by unknown stress,0.69,62.5,30.6,1531,0.64,0.83,0.81,1.73,33.3,38,0.73,17,25,7,0,10,-117.97397,33.9132,0.460162602,0.16097561,0.128455285,0.666666667,0.120325203,0.339837398,0.845528455,0.162601626,0.73495935,0.089430894,0.240650407,0.292682927,0.144715447,0.92195122,0.100813008,0.130081301
SMC02718,22525749,2021,5/13/2021,likely constrained,Orange,San Gabriel,Santa Ana,0.970616683,2.22E-16,0.970616683,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.31,41,66.7,1422,0.36,0.71,1.52,1.96,83.3,63,0.97,30,62.5,1.02,0.11,84,-117.88771,33.88936,0.029268293,0.082926829,0.567479675,0.634146341,0.282926829,0.047154472,0.671544715,0.629268293,0.964227642,0.821138211,0.629268293,0.474796748,0.482926829,0.617886179,0.674796748,0.408130081
SMC00899,20355328,2021,5/6/2021,likely constrained,Orange,Lower Santa Ana,Santa Ana,0.998956857,0.954770165,0.999952819,Impacted for CSCI and ASCI,Stressed by chemistry and habitat degradation,Impacted and stressed,0.53,67.7,33.3,1592,0.24,0.7,0.41,0,58.3,46,0.21,0,25,2.35,1.45,2,-117.7888,33.71747,0.234146341,0.245528455,0.164227642,0.684552846,0.154471545,0.004878049,0.660162602,0.087804878,0.069918699,0.317073171,0.061788618,0.040650407,0.144715447,0.767479675,0.957723577,0.066666667
901S00531,20348625,2021,4/27/2021,possibly constrained,Orange,San Juan,San Diego,0.972752954,0.00124184,0.97278679,Impacted for CSCI and ASCI,Stressed by chemistry degradation,Impacted and stressed,0.62,25,33.3,1920,0.4,0,0,0,41.7,31,0.06,1,25,0.52,0.04,8,-117.772,33.55975,0.367479675,0.050406504,0.164227642,0.77398374,0.045528455,0.069918699,0.084552846,0.045528455,0.069918699,0.113821138,0.014634146,0.061788618,0.144715447,0.489430894,0.458536585,0.112195122
SMC01155,22561200,2021,4/26/2021,possibly unconstrained,Orange,Lower Santa Ana,Santa Ana,0.544955474,2.22E-16,0.544955474,Impacted for ASCI,Low stress,Impacted by unknown stress,0.55,90.3,30.6,844.3,0.84,0.74,1.2,1.37,91.7,66,0.75,48,50,1.27,0.01,24,-117.67949,33.7606,0.260162602,0.559349593,0.128455285,0.362601626,0.354471545,0.62601626,0.733333333,0.308943089,0.378861789,0.887804878,0.26504065,0.673170732,0.37398374,0.65203252,0.198373984,0.17398374
