"MasterID","COMID","yr","csci_sampledate","Constraint_class","lower","meds","upper","County","SMC_region","Regional_board","pChem","pHab","pOverall","biological_condition","WaterChemistryCondition","HabitatCondition","OverallStressCondition","stress_condition","SQI","ASCI","blc","bs","Cond","CSCI","Ev_FlowHab_score","Ev_FlowHab_raw","H_AqHab_score","H_AqHab_raw","H_SubNat_score","H_SubNat_raw","hy","CRAM","IPI","PCT_SAFN_score","PCT_SAFN_raw","ps","TN","TP","XCMG_score","XCMG_raw","lon","lat","ASCI_ptile","blc_ptile","bs_ptile","Cond_ptile","CRAM_ptile","CSCI_ptile","Ev_FlowHab_ptile","H_AqHab_ptile","H_SubNat_ptile","hy_ptile","IPI_ptile","PCT_SAFN_ptile","ps_ptile","TN_ptile","TP_ptile","XCMG_ptile"
"ME-CC","17562626",2021,2021-07-13,"likely constrained",0.30979055,0.56312043,0.7539493,"Ventura","Calleguas","Los Angeles",0.999349362788214,0.75899982247351,0.999843196316454,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",0.31,67.7,94.4,1582,0.48,0,0,0.62,1.1,0.53,1,83.3,68,0.75,0.29,90,25,3.1,2.1,1,151,-119.03968,34.17912,0.0292682926829268,0.245528455284553,0.978861788617886,0.678048780487805,0.413008130081301,0.144715447154472,0.0845528455284553,0.276422764227642,0.209756097560976,0.821138211382114,0.265040650406504,0.178861788617886,0.144715447154472,0.808130081300813,0.973983739837398,1
"SMC01860","17564046",2021,2021-07-13,"possibly constrained",0.38030649,0.59899188,0.8301873,"Ventura","Calleguas","Los Angeles",0.998580096176527,0.56195245786474,0.999378014620059,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",0.48,66.5,88.9,1165,0.81,0.78,0.75,0.64,1.31,0.73,1.38,83.3,72,0.98,0.67,60,50,6.15,2.05,0.83,144,-118.97911,34.224,0.15609756097561,0.198373983739837,0.938211382113821,0.517073170731707,0.502439024390244,0.578861788617886,0.746341463414634,0.292682926829268,0.391869918699187,0.821138211382114,0.645528455284553,0.439024390243902,0.373983739837398,0.897560975609756,0.972357723577236,0.728455284552846
"408M03166","163864409",2021,2021-07-07,NA,NA,NA,NA,"Ventura","Calleguas","Los Angeles",0.999428230686157,0.870326789901508,0.999925856837638,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",0.42,82.9,61.1,1683,0.44,0.72,0.69,0.78,1.43,0.56,1.07,75,67,0.88,0.42,79,50,5.8,1.5,0.76,109,-118.86104,34.28501,0.0894308943089431,0.396747967479675,0.48130081300813,0.717073170731707,0.386991869918699,0.110569105691057,0.64390243902439,0.551219512195122,0.245528455284553,0.647154471544715,0.432520325203252,0.247154471544715,0.373983739837398,0.886178861788618,0.959349593495935,0.627642276422764
"408M03182","163864411",2021,2021-07-07,NA,NA,NA,NA,"Ventura","Calleguas","Los Angeles",0.999555660396978,0.669246307251607,0.999853033035466,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",0.32,82.9,50,1681,0.56,0.84,0.8,0.76,1.43,0.44,0.83,91.7,66,0.85,0.26,91,37.5,5.9,1.9,0.8,116,-118.83916,34.29028,0.0341463414634146,0.396747967479675,0.268292682926829,0.715447154471545,0.354471544715447,0.221138211382114,0.801626016260163,0.48780487804878,0.172357723577236,0.88780487804878,0.385365853658537,0.170731707317073,0.196747967479675,0.889430894308943,0.969105691056911,0.678048780487805
"SMC04308","17564110",2021,2021-07-07,"possibly constrained",0.32302432,0.68491974,0.8265654,"Ventura","Calleguas","Los Angeles",0.858072919807949,0.650956045058672,0.950461210616491,"Impacted for ASCI","Moderate","Moderate","Severe","Stressed by low levels of chemistry or habitat degradation","Impacted and stressed",0.34,82.9,52.8,1277,0.9,0.82,0.78,0.85,1.74,1,2.01,75,65,1.07,0.9,24,50,0.77,0.03,0.65,111,-118.9083,34.19349,0.040650406504065,0.396747967479675,0.299186991869919,0.572357723577236,0.326829268292683,0.699186991869919,0.778861788617886,0.739837398373984,1,0.647154471544715,0.813008130081301,0.796747967479675,0.373983739837398,0.575609756097561,0.385365853658537,0.478048780487805
"ME-VR2","948070372",2021,2021-06-08,NA,NA,NA,NA,"Ventura","Ventura","Los Angeles",0.672620114916798,0.247533065925011,0.753657461593621,"Impacted for ASCI","Moderate","Moderate","Moderate","Low stress","Impacted by unknown stress",0.76,80.6,83.3,1081,0.83,0.77,0.74,1,1.75,1,1.98,91.7,80,1.17,0.84,38,62.5,2.3,0,0.86,114,-119.29948,34.34584,0.565853658536585,0.383739837398374,0.902439024390244,0.486178861788618,0.723577235772358,0.604878048780488,0.733333333333333,1,1,0.88780487804878,0.975609756097561,0.702439024390244,0.482926829268293,0.760975609756098,0.100813008130081,0.778861788617886
"403M01661","17573683",2021,2021-06-08,"possibly unconstrained",0.50804634,0.82814145,1.05762068,"Ventura","Santa Clara","Los Angeles",0.903813097664003,0.558470604942755,0.957530655199157,"Impacted for ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",0.78,93.3,58.3,1982,0.86,0.91,0.87,0.89,1.62,0.82,1.56,91.7,73,0.94,0.52,68,50,0.34,0,0.58,101,-119.09618,34.30608,0.601626016260163,0.769105691056911,0.422764227642276,0.788617886178862,0.528455284552846,0.640650406504065,0.894308943089431,0.80650406504065,0.549593495934959,0.88780487804878,0.539837398373984,0.308943089430894,0.373983739837398,0.4,0.100813008130081,0.417886178861789
"SMC02436","17563958",2021,2021-06-02,"possibly constrained",0.4657805,0.62334793,0.82910288,"Ventura","Calleguas","Los Angeles",0.998538734976803,0.956849789056081,0.999936946106004,"Impacted for CSCI and ASCI","Severe","Severe","Severe","Stressed by chemistry and habitat degradation","Impacted and stressed",0.53,61.1,51.4,1781,0.69,1,1,0.69,1.32,0.32,0.6,66.7,52.5,0.82,0.31,87,31.2,8.8,0.42,0.72,100,-118.97199,34.26279,0.234146341463415,0.126829268292683,0.269918699186992,0.743089430894309,0.178861788617886,0.4,1,0.36260162601626,0.128455284552846,0.375609756097561,0.339837398373984,0.191869918699187,0.146341463414634,0.947967479674797,0.904065040650406,0.569105691056911
"403S00772","948070356",2021,2021-06-02,NA,NA,NA,NA,"Ventura","Santa Clara","Los Angeles",0.475578841200683,0.284509372953183,0.624781576254059,"Healthy","Moderate","Moderate","Moderate","Low stress","Healthy and unstressed",0.86,73.2,61.1,1196,0.79,0.75,0.72,0.92,1.53,0.96,1.82,91.7,72,1,0.94,24,62.5,0.33,0,0.51,44,-118.93221,34.40976,0.699186991869919,0.266666666666667,0.48130081300813,0.531707317073171,0.502439024390244,0.544715447154472,0.692682926829268,0.868292682926829,0.863414634146341,0.88780487804878,0.682926829268293,0.84390243902439,0.482926829268293,0.386991869918699,0.100813008130081,0.333333333333333
"404S03048","948070152",2021,2021-06-02,NA,NA,NA,NA,"Ventura","Santa Monica Bay","Los Angeles",0.999874252679273,0.838050909070613,0.999979635335722,"Impacted for CSCI and ASCI","Severe","Moderate","Severe","Stressed by chemistry degradation","Impacted and stressed",0.61,80.6,52.8,3722,0.68,0.44,0.43,0.99,1.88,0.68,1.29,83.3,70,0.74,0.39,68,62.5,0.36,0.14,0.43,82,-118.79088,34.18425,0.346341463414634,0.383739837398374,0.299186991869919,0.96260162601626,0.455284552845528,0.388617886178862,0.271544715447154,0.949593495934959,0.339837398373984,0.821138211382114,0.256910569105691,0.226016260162602,0.482926829268293,0.411382113821138,0.739837398373984,0.286178861788618
